address,categories,city,latitude,longitude,name,postalCode,province
11002 Nicholas Ln,Fast Food Restaurants,Berlin,38.375899,-75.162531,Pizza Hut,21811,MD
13053 Worldgate Dr,Sandwiches / Wraps / Fast Food,Herndon,38.957842,-77.399906,Quiznos Sub,20170,VA
2837 Gallows Rd,"Sandwich Place, Fast Food Restaurant, and Soup Place",Falls Church,38.873625,-77.22711,Quiznos,22042,VA
1512 Clarendon Blvd,Fast Food Restaurants,Arlington,38.89367,-77.074348,Jimmy John's,22209,VA
7351 Assateague Dr,Fast Food Restaurants,Jessup,39.168455,-76.785828,Panda Express,20794,MD
7351 Assateague Dr,Fast Food Restaurant,Jessup,39.168455,-76.785828,Panda Express,20794,MD
3100 Xavier Dr,Fast Food Restaurant Southeast Yonkers,Yonkers,40.927132,-73.852638,Boston Market,10704,NY
3100 Xavier Dr,Fast Food Restaurant,Yonkers,40.927132,-73.852638,Boston Market,10704,NY
6365 Woodhaven Blvd,Fast Food,Rego Park,40.722731,-73.867589,Dunkin' Donuts,11374,NY
302 5th Ave,Fast Food,New York,40.746711,-73.986133,Dunkin' Donuts,10001,NY
269 8th Ave,Fast Food,New York,40.745683,-73.998192,Dunkin' Donuts,10011,NY
7609 Harford Rd,Fast Food Restaurant,Parkville,39.372186,-76.544235,SUBWAY,21234,MD
79 Broadway,Fast Food Restaurant,Albany,42.681358,-73.73074,Subway,12204,NY
2601 George Washington Mem Hwy,Fast Food Restaurants,Yorktown,37.121834,-76.457525,Subway,23693,VA
225 1st Ave,Fast Food Restaurants,New York,40.731006,-73.983114,Checkers,10003,NY
225 1st Ave,Fast Food Restaurant,New York,40.731006,-73.983114,Checkers,10003,NY
21006 Timberlake Rd,Fast Food Restaurant,Lynchburg,37.304998,-79.285456,Burger King,24502,VA
5320 James Madison Pkwy,Fast Food Restaurant,King George,38.340674,-77.073788,Burger King,22485,VA
2101 Willis Rd,Fast Food Restaurant,Richmond,37.401788,-77.422582,Waffle House,23237,VA
110 Wall St,Fast Food Restaurant,New York,40.704903,-74.006416,Fuku,10005,NY
6151 State Hwy 12,Fast Food Restaurant,Norwich,42.551292,-75.526063,Arby's,13815,NY
2946 Ny Route 11,Fast Food,Whitney Point,42.336496,-75.973877,Arby's,13862,NY
4610 County Dr,Fast Food Restaurant,Disputanta,37.184644,-77.317661,Wendy's,23842,VA
4648 Cleburne Blvd,Fast Food Restaurants,Dublin,37.092806,-80.687838,Wendy's,24084,VA
404 E Market St,Fast Food Restaurants,Leesburg,39.110523,-77.555358,Wendy's,20176,VA
3904 Victory Blvd,Fast Food Restaurant,Portsmouth,36.80845,-76.357186,Wendy's,23701,VA
3601 Price Club Blvd,Fast Food Restaurant,Midlothian,37.441151,-77.587354,Wendy's,23112,VA
3601 Price Club Blvd,Fast Food Restaurant and Burger Joint,Midlothian,37.441151,-77.587354,Wendy's,23112,VA
3700 Tiffany Ln,Fast Food Restaurant,Virginia Beach,36.785421,-76.107585,Wendy's,23456,VA
3431 Columbia Pike,Fast Food Restaurants,Arlington,38.861199,-77.092349,Wendy's,22204,VA
327 W Reservoir Rd,Fast Food Restaurant and Burger Joint,Woodstock,38.870675,-78.524561,Wendy's,22664,VA
3461 Old Halifax Rd,Fast Food Restaurant,South Boston,36.73367,-78.909696,Wendy's,24592,VA
2801 Virginia Ave,Fast Food Restaurant,Collinsville,36.713656,-79.90856,Wendy's,24078,VA
2643 Front St,Fast Food Restaurant,Richlands,37.094144,-81.810756,Wendy's,24641,VA
2201 Pacific Ave,Fast Food Restaurant,Virginia Beach,36.850346,-75.976651,Wendy's,23451,VA
2120 John Rolfe Pkwy,Fast Food Restaurant and Burger Joint,Henrico,37.621105,-77.623965,Wendy's,23233,VA
2126 Ruffin Mill Rd,Fast Food Restaurant,Colonial Heights,37.309463,-77.391867,Wendy's,23834,VA
1804 Teall Ave,Fast Food Restaurants,Syracuse,43.072836,-76.123167,McDonald's,13206,NY
3336 Sheridan Dr,Fast Food Restaurants,Buffalo,42.980127,-78.810087,Jim's Steakout,14226,NY
135 Fairgrounds Memorial Pkwy,Fast Food Restaurants,Ithaca,42.427536,-76.514032,Subway,14850,NY
20206 Hillside Ave,Fast Food,Hollis,40.719967,-73.7619,Subway,11423,NY
2898 Westinghouse Rd,Fast Food Restaurants,Horseheads,42.176045,-76.836245,Subway,14845,NY
817 S 4th St,Fast Food Restaurants,Fulton,43.309285,-76.399598,Subway,13069,NY
402 Larkfield Rd,Fast Food Restaurants,East Northport,40.867109,-73.321775,Subway,11731,NY
4 Chevy Dr,Fast Food Restaurants,East Syracuse,43.058833,-76.063904,Subway,13057,NY
2801 W Broad St,Fast Food Restaurants,Richmond,37.562465,-77.470487,SUBWAY,23230,VA
9522 Crain Hwy,Fast Food Restaurants,Upper Marlboro,38.759753,-76.808197,Subway,20772,MD
978 Largo Center Dr,Fast Food Restaurants,Upper Marlboro,38.902002,-76.837682,Subway,20774,MD
